Index,Index SubSeries,Source,GSE,Single Cell,Paired,Hand Processed,Mix bulk,Wanna understand better,Sample source name ch1,Cell Cycle,Cell Cycle Subtype,,Comment,% of zeros in data,Single cell In Info,Single In Info,Cell In Info,In Svensson SC list,,Phase Correlation,Cell count,Non zero genes count,Year,Sample organism ch1,Sample source name ch1,Sample status,Sample instrument model,Sample data processing,Sample extract protocol ch1,Sample library selection,Sample library source,Sample library strategy,Sample molecule ch1,Sample platform id,Sample submission date,Sample last update date,Single cell In Info,Single In Info,Cell In Info,In Svensson SC list,Phase Correlation,Shorthand,DOI,Authors,Journal,Title,Date,bioRxiv DOI,Reported cells total,Organism,Tissue,Technique,Data location,Panel size,Measurement,Cell source,Disease,Contrasts,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,Number individuals
10,10,ARCHS4v_,GSE75748,1,,,,,undifferentiated human embryonic stem cells,Strange,May be mix of fast flatten G0,,undiffer. hESC,61.39,1,1,1,1,TRUE,0.9,1808,31216,2015,Homo sapiens,undifferentiated human embryonic stem cells,Public on Jul 21 2016,Illumina HiSeq 2500,Basecalls performed using CASAVA version 1.8.2Xx-xXSequencing reads were mapped to hg19 using bowti,Single-cell suspentions were loaded onto a medium size (10-17 m) C1 Single-Cell Auto Prep IFC (Fl,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Dec 07 2015,Jul 21 2016,1,1,1,1,0.9,Chu et al GB,10.1186/s13059-016-1033-x,"Li-Fang Chu, Ning Leng, Jue Zhang, Zhonggang Hou, Daniel Mamott, David T. Vereide, Jeea Choi, Christina Kendziorski, Ron Stewart, James A. Thomson",Genome Biol,Single-cell RNA-seq reveals novel regulators of human embryonic stem cell differentiation to definitive endoderm,20160817,-,"1,776",Human,Culture,SMARTer (C1),GSE75748,,RNA-seq,Embryonic stem cells,,,,7,Yes,Yes,No,Yes,No,,IFC Capture,,
11,11,ARCHS4v_,GSE86894Xx-xXGSE86982,1,4,0,,1,cultured embryonic stem cells,Challenge,"It is like flatten, but concetration of ""fast"" side, so may be mixture",,same as N4 but different CC,72.42,1,1,1,0,FALSE,0.88,1794,31937,2016,Homo sapiens,cultured embryonic stem cells,Public on Sep 30 2016,Illumina HiSeq 2500,"Read were aligned transcriptome by RSEM to RefSeq gene annotation (April 23, 2013), and unmapped re","To generate single cell suspensions, hESC-derived cultures were dissociated from plates using Accut",cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Sep 15 2016,Sep 30 2016,1,1,1,0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,ARCHS4v_,GSE93593Xx-xXGSE93802,,,,,,DCX+_D26,SemiOval,,,,72.02,1,1,1,0,FALSE,0.88,1733,30034,2017,Homo sapiens,DCX+_D26,Public on Mar 10 2017,Illumina HiSeq 2500,"Read were aligned transcriptome by RSEM to RefSeq gene annotation (April 23, 2013), and unmapped re","To generate single cell suspensions, hESC-derived cultures were dissociated from plates using Accut",cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Jan 13 2017,Mar 10 2017,1,1,1,0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,ARCHS4v_,GSE75478,1,,,,,Lin-CD34+CD38+ bone marrow,Flatten,With Rounding,,,83.58,0,0,1,1,TRUE,0.83,1701,33003,2016,Homo sapiens,Lin-CD34+CD38+ bone marrow,Public on Jan 19 2017,Illumina HiSeq 2000,"Demultiplexing. Perl 5.10.1Xx-xXTrim off remaining poly-A tails, if applicable. Perl 5.10.1Xx-xXAli","Fresh bone marrow mononuclear cells were stained with fluorescence labeled antibodies against CD34,",cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL11154,Aug 23 2016,Jan 19 2017,0,0,1,1,0.83,Velten et al NCB,10.1038/ncb3493,"Lars Velten, Simon F. Haas, Simon Raffel, Sandra Blaszkiewicz, Saiful Islam, Bianca P. Hennig, Christoph Hirche, Christoph Lutz, Eike C. Buss, Daniel Nowak, Tobias Boch, Wolf-Karsten Hofmann, Anthony D. Ho, Wolfgang Huber, Andreas Trumpp, Marieke A. G. Essers, Lars M. Steinmetz",Nat Cell Biol,Human haematopoietic stem cell lineage commitment is a continuous process,20170320,-,"2,414",Human,Bone marrow,Quartz-seq & Smart-seq2,GSE75478,,RNA-seq,HSPCs,,Index sorting,,,,,,,,,,,
14,14,ARCHS4v_,GSE47774Xx-xXGSE47792,0,,,,,Human Brain Reference RNA (HBRR) from Ambion,Bulk,,,Quality Control Consortium,40.54,0,0,0,0,FALSE,1,1691,34104,2013,Homo sapiens,Human Brain Reference RNA (HBRR) from Ambion,Public on Aug 08 2014,Illumina HiSeq 2000,Illumina Casava1.8 software used for Illumina basecalling. SOLiD 5500 and 454 reads were generated,"Illumina, SOLiD, and 454 libraries were prepared using standard Illumina, SOLiD, and 454 RNA-Seq pr",cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Jun 10 2013,Aug 08 2014,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,ARCHS4v_,GSE103147,,,,,,T cells,Strange,Bulk? Strange 2 pieces flatten,,,53.73,0,0,1,0,FALSE,0.98,1650,34983,2017,Homo sapiens,T cells,Public on Oct 17 2017,Illumina HiSeq 2000,Alignment STAR version STAR_2.3.1dXx-xXSequenced reads were filtered for low-quality sequence and t,Paxgene RNAXx-xXGlobinClear Globin transcript reduction followed by Illumina mRNA-Seq,cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Aug 27 2017,Oct 17 2017,0,0,1,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,ARCHS4v_,GSE81608,1,,,,,Pancreatic islets,G0,,,,71.6,0,1,1,1,TRUE,0.53,1598,29188,2016,Homo sapiens,Pancreatic islets,Public on Aug 31 2016,Illumina HiSeq 2500,Illumina Casava 1.8.2 software used for basecalling.Xx-xXReads were decoded based on their barcodes,"Single islet cells were captured with C1 Integrated Fluidic Circuit. Cell lysing, reverse transcrip",cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,May 18 2016,Aug 31 2016,0,1,1,1,0.53,Xin et al CMetabolism,10.1016/j.cmet.2016.08.018,"Yurong Xin, Jinrang Kim, Haruka Okamoto, Min Ni, Yi Wei, Christina Adler, Andrew J. Murphy, George D. Yancopoulos, Calvin Lin, Jesper Gromada",Cell Metabolism,RNA Sequencing of Single Human Islet Cells Reveals Type 2 Diabetes Genes,20160922,-,"1,492",Human,Pancreas,SMARTer (C1),GSE81608,,RNA-seq,Pancreatic islets,Type 2 diabetes,,,4,Yes,No,No,Yes,Yes,,,,
17,17,ARCHS4v_,GSE102934,,,,,,neuronal progenitors,Challenge,"May be Fast and Triangle. Looks like triangle but ""fast"" age is too thick - so may be fast ",,,80.83,1,1,1,0,FALSE,0.52,1541,23218,2017,Homo sapiens,neuronal progenitors,Public on Apr 15 2018,Illumina HiSeq 2500,Illumina Real-Time Analysis (RTA) 1.18.66.3 software used for basecalling.Xx-xXSequenced reads were,"To construct single-cell libraries from polyA-tailed RNA, we applied massively parallel single-cell",cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Aug 22 2017,Apr 30 2018,1,1,1,0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,ARCHS4v_,GSE121265,,,,,,LCL-derived iPSC,Fast,"Some fraction of ""bad-dying"" cells below main part, bad - because high mt percent",,,65.03,1,1,1,0,FALSE,0.56,1504,26850,2018,Homo sapiens,LCL-derived iPSC,Public on Feb 12 2019,Illumina HiSeq 2500,We used `umi_tools extract` (UMI-tools 0.5.3) to extract the 6 base pair unique molecular identifie,We collected cells using the C1 Single-Cell Auto Prep IFC microfluidic chip (Fluidigm).Xx-xXWe perf,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Oct 15 2018,Feb 12 2019,1,1,1,0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,ARCHS4v_,GSE81475,,,,,,Neuronal epithelium,Flatten,,,,73.06,1,1,1,0,FALSE,0.83,1459,29556,2016,Homo sapiens,Neuronal epithelium,Public on Sep 06 2016,Illumina HiSeq 2000,"We used Illumina CASAVA to purify the low-quality and non-identified reads, and used FastQC to repo","Fluidigm C1 was used to capture single cell for mRNA sequencing.   Catalog # 100-5760, which is mic",cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,May 16 2016,Sep 06 2016,1,1,1,0,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,ARCHS4v_,GSE117872,,,,,,HN120P,FastAndFlatten,Fast part cloud is huge about flatten no so clear may be bad-dying cells ,,,64.81,1,1,1,1,TRUE,0.56,1326,29578,2018,Homo sapiens,HN120P,Public on Nov 22 2018,Illumina HiSeq 2500,Basecalls performed using gis-rpd pipelines/bcl2fastq/ https://github.com/gis-rpd/pipelines/tree/ma,The C1 Single-Cell Auto Prep IFC (Fluidigm) system was employed for single-cell RNA-seq. Single cel,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Jul 30 2018,Nov 22 2018,1,1,1,1,0.56,Sharma et al NCommunications,10.1038/s41467-018-07261-3,"Ankur Sharma, Elaine Yiqun Cao, Vibhor Kumar, Xiaoqian Zhang, Hui Sun Leong, Angeline Mei Lin Wong, Neeraja Ramakrishnan, Muhammad Hakimullah, Hui Min Vivian Teo, Fui Teen Chong, Shumei Chia, Matan Thangavelu Thangavelu, Xue Lin Kwang, Ruta Gupta, Jonathan R. Clark, Giridharan Periyasamy, N. Gopalakrishna Iyer, Ramanuj DasGupta",Nat Commun,Longitudinal single-cell RNA sequencing of patient-derived primary cells reveals drug-induced infidelity in stem cell hierarchy,20181116,,"1,302",Human,Tumor,SMARTer (C1),GSE117872,,RNA-seq,Oral cancer OSCC,,sensitive vs drug-resistent,,,,,,,,,,,
21,21,ARCHS4v_,GSE128072,,,,,,Liver,Strange,May be bulk? but percent of zeros 48,,,48.74,0,0,0,0,FALSE,0.89,1284,29610,2019,Homo sapiens,Liver,Public on Jun 13 2019,Illumina HiSeq 2500,RNA-Seq: (1) Low quality base calls and sequencing adapters were trimmed using Trim Galore! (2) Tri,Illumina TruSeq Stranded mRNA kitXx-xXQIAGENs AllPrep DNA/RNA/miRNA Universal Kit,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Mar 08 2019,Jun 13 2019,0,0,0,0,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,ARCHS4v_,GSE130473,,,,,,Human fetal liver,Flatten,,,,84.31,0,0,0,0,FALSE,0.94,1248,29393,2019,Homo sapiens,Human fetal liver,Public on May 21 2019,Illumina HiSeq 2500,Raw sequencing reads were aligned using STAR and per gene counts were calculated using HTSEQXx-xXGe,Human fetal tissue was dissociated by Collagenase XI enzymatic dissociation for 25 minutes at 37C,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Apr 30 2019,May 21 2019,0,0,0,0,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,ARCHS4v_,GSE124299,,,,,,iPS-derived cerebral organoid,Challenge,May be bit of fast mixted with flatten,,,76.88,0,0,0,0,FALSE,0.82,1065,29259,2019,Homo sapiens,iPS-derived cerebral organoid,Public on Feb 07 2019,Illumina HiSeq 2500,Trim Galore 3.7Xx-xXHISAT2Xx-xXsubread-1.5.0 function featureCountsXx-xXHuman GRCh38.79.gtfXx-xXThe,Fluidigm C1 small IFC (100-5759; 100-6201);  SMARTer Ultra Low RNA Kit (634832)Xx-xXNextera XT,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Jan 18 2019,Feb 07 2019,0,0,0,0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,ARCHS4v_,GSE126250,,,,,,esophagus,G0,,,,80.84,1,1,1,1,TRUE,0.52,1055,29299,2019,Homo sapiens,esophagus,Public on Feb 08 2019,Illumina HiSeq 2500,Basecalling was performed with Illumina's bcl2fastq v2.15.0Xx-xXIdentifying information was removed,Single cells were isolated on the Fluidigm C1 system using the 7-10 uM capture chip and manually ex,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,Feb 07 2019,Feb 12 2019,1,1,1,1,0.52,Wen et al JCI,10.1172/JCI125917,"Ting Wen, Bruce J. Aronow, Yrina Rochman, Mark Rochman, Kiran KC, Phil J. Dexheimer, Philip Putnam, Vincent Mukkada, Heather Foote, Kira Rehn, Sam Darko, Daniel Douek, Marc E. Rothenberg",Journal of Clinical Investigation,Single-cell RNA sequencing identifies inflammatory tissue T cells in eosinophilic esophagitis,20190407,,"1,088",Human,Esophagus,SMARTer (C1),GSE126250,,RNA-seq,T cells,Eosinophilic esophagitis,EoE vs Remission vs Without disease,,,,,,,,,,,
25,25,ARCHS4v_,GSE99095,1,,,,,Bone Marrow,Flatten,,,,67.86,1,1,1,0,FALSE,0.87,1029,32661,2017,Homo sapiens,Bone Marrow,Public on Oct 13 2017,Illumina HiSeq 2500,"Paired-end reads were mapped to the hg19 genome with RSubread, featureCounts function within the Rs",The C1 Single-cell Auto Prep System (Fluidigm) was employed to perform SMARTer (Clontech) WTA on up,cDNA,transcriptomic,RNA-Seq,total RNA,GPL16791,May 19 2017,Oct 13 2017,1,1,1,0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,ARCHS4v_,GSE111894Xx-xXGSE111898,,,,,,Tumor,G0,With Few Exceptions,,,85.91,1,1,1,0,FALSE,0.81,1008,26680,2018,Homo sapiens,Tumor,Public on Jun 13 2019,Illumina HiSeq 2500,Single-cell RNAseq data were mapped against the human hg19 reference genome using TopHatXx-xXSeq,"Single cell RNAseq was performed as described in Picelli et al.Nat Protoc. 2014, PMID:24385147. We ",cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Mar 15 2018,Jun 13 2019,1,1,1,0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,ARCHS4v_,GSE97693,,,,,,CCL23 cell line,Flatten,,,,79.33,0,1,1,0,FALSE,0.84,969,30004,2017,Homo sapiens,CCL23 cell line,Public on Nov 29 2018,Illumina HiSeq 4000,Illumina CASAVA version 1.8 were used to the basecalling.Xx-xXThe raw sequencing reads were trimmed,The single viable cells were individually picked into 200-uL tubes containing lysis buffer. For scT,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL20301,Apr 12 2017,Nov 30 2018,0,1,1,0,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,ARCHS4v_,GSE115214Xx-xXGSE115218,,,,,,donor 1_CD34+ hematopoietic cells,Oval,,,,71.26,1,1,1,0,FALSE,0.6,954,29486,2018,Homo sapiens,donor 1_CD34+ hematopoietic cells,Public on Feb 28 2019,Illumina NextSeq 500,RNA sequencing data was aligned to the human reference genome (GRCh37/hg19) using STAR using standa,Qiagen TCL lysis bufferXx-xXSmart-seq2; Single cell RNA-seq,cDNA,transcriptomic,RNA-Seq,total RNA,GPL18573,Jun 01 2018,Feb 28 2019,1,1,1,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,ARCHS4v_,GSE89403,,,,,,Blood,Bulk?,,,,36.33,0,0,0,0,FALSE,0.98,914,32702,2016,Homo sapiens,Blood,Public on Nov 01 2017,Illumina HiSeq 2000,Alignment STAR version STAR_2.3.1dXx-xXSequenced reads were filtered for low-quality sequence and t,Paxgene RNAXx-xXGlobinClear Globin transcript reduction followed by Illumina mRNA-Seq,cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Nov 01 2016,Nov 01 2017,0,0,0,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,ARCHS4v_,GSE85534,,,,,,lung adenocarcinoma,Strange,May be mixt of fast and flatten but quite strange with low range,,,84.23,1,1,1,1,,0.91,906,26408,2017,Homo sapiens,lung adenocarcinoma,Public on Feb 13 2017,Illumina HiSeq 2500,Illumina Real-Time Analysis (RTA) 1.18.66.3 software used for basecalling.Xx-xXSequenced reads were,"For single cell analysis, cryopreserved cells were rapidly thawed in a water bath in continuous agi",cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Jan 18 2017,Feb 13 2017,1,1,1,1,0.91,Guillaumet-Adkins et al GB,10.1186/s13059-017-1171-9,"Amy Guillaumet-Adkins, Gustavo Rodríguez-Esteban, Elisabetta Mereu, Maria Mendez-Lago, Diego A. Jaitin, Alberto Villanueva, August Vidal, Alex Martinez-Marti, Enriqueta Felip, Ana Vivancos, Hadas Keren-Shaul, Simon Heath, Marta Gut, Ido Amit, Ivo Gut, Holger Heyn",Genome Biol,Single-cell transcriptome conservation in cryopreserved cells and tissues,20170301,-,"1,486","Human, Dog, Mouse","Culture, Colon, Blood",Smart-seq2,GSE85534,,RNA-seq,"Colon, HEK293, K562, MDCK, NIH3T3, PBMCs, PDOX",,Cryo vs Fresh,,,,,,,,,,,
31,31,ARCHS4v_,GSE107646,,,,,,CD8+ T cell_MAIT,G0,,,,84.54,1,1,1,0,,0.56,904,24237,2017,Homo sapiens,CD8+ T cell_MAIT,Public on Mar 23 2019,Illumina HiSeq 2500,"Paired end, non-strand-specific mature RNA-seq reads were trimmed using fastq-mcf from ea-utils in ",Single cells were directly sorted into lysis buffer for cDNA library prepXx-xXoptimized Smart-seq2,cDNA,transcriptomic,RNA-Seq,polyA RNA,GPL16791,Dec 04 2017,Mar 23 2019,1,1,1,0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,ARCHS4v_,GSE75659,,,,,,ex.vivo.single.Tcell,Flatten,With high concentration at G0,,,86.07,0,1,1,1,,0.9,892,28769,2015,Homo sapiens,ex.vivo.single.Tcell,Public on Sep 26 2016,Illumina HiSeq 2000,genome build:  hg19Xx-xXAligned reads with rna-starXx-xXCalculated expression values with rpkmforge,"SmartSeq2 (Picelli S, Nat Methods. 2013, PubMed PMID: 24056875)",cDNA,transcriptomic,RNA-Seq,total RNA,GPL11154,Dec 03 2015,Sep 26 2016,0,1,1,1,0.9,Reinius et al NGenetics,10.1038/ng.3678,"Björn Reinius, Jeff E Mold, Daniel Ramsköld, Qiaolin Deng, Per Johnsson, Jakob Michaëlsson, Jonas Frisén, Rickard Sandberg",Nat Genet,Analysis of allelic expression patterns in clonal somatic cells by single-cell RNA–seq,20160926,-,892,Human,,Smart-seq2,GSE75659,,RNA-seq,,,,,,,,,,,,,,
